epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,59.4277,0.77089,1.08697,1.22438,0.73123,0.71457,0.85639,0.51147,1.46636,1.41136,2.45921,0.000608468,0.000608468,0.000608468
60,60.4477,0.74709,1.11818,1.24158,0.66667,0.77678,0.84,0.47395,1.44002,1.5543,2.4195,0.000594321,0.000594321,0.000594321
61,61.3957,0.74989,1.09204,1.26705,0.75153,0.69616,0.84845,0.46899,1.34231,1.62493,2.30539,0.000580174,0.000580174,0.000580174
62,62.3503,0.71581,0.96763,1.20717,0.6947,0.70391,0.84,0.48561,1.50966,1.44391,2.49597,0.000566027,0.000566027,0.000566027
63,63.3088,0.69891,1.05134,1.25118,0.87327,0.8809,0.87069,0.48822,1.49527,1.40055,2.46367,0.00055188,0.00055188,0.00055188
64,64.2708,0.70949,1.01999,1.22079,0.85129,0.8805,0.86244,0.51361,1.36006,1.36649,2.31811,0.000537733,0.000537733,0.000537733
65,65.2138,0.78036,0.98561,1.24933,0.85955,0.8709,0.86244,0.52008,1.39376,1.37456,2.30523,0.000523586,0.000523586,0.000523586
66,66.1687,0.76875,0.96498,1.2833,0.84388,0.85246,0.918,0.58128,1.32897,1.33031,2.12956,0.000509438,0.000509438,0.000509438
67,67.1068,0.71885,0.99187,1.19974,0.73918,0.76417,0.85667,0.58669,1.22311,1.35372,2.01643,0.000495291,0.000495291,0.000495291
68,68.0497,0.71211,0.95088,1.24058,0.62092,0.97049,0.88417,0.59093,1.24886,1.40678,2.07262,0.000481144,0.000481144,0.000481144
69,68.9932,0.69687,0.97466,1.2114,0.7523,0.72222,0.84845,0.57153,1.31229,1.44715,2.14962,0.000466997,0.000466997,0.000466997
70,69.9364,0.73825,0.95208,1.17407,0.74808,0.72222,0.8425,0.54861,1.43164,1.43096,2.26177,0.00045285,0.00045285,0.00045285
71,70.8802,0.71562,1.03604,1.23913,0.75852,0.74797,0.87,0.56274,1.40879,1.35519,2.2776,0.000438703,0.000438703,0.000438703
72,71.8161,0.75821,1.15318,1.23619,0.75538,0.75342,0.87595,0.55084,1.36272,1.40176,2.22962,0.000424556,0.000424556,0.000424556
73,72.7512,0.67852,0.92184,1.14504,0.76045,0.76377,0.86167,0.54218,1.31636,1.46039,2.17059,0.000410409,0.000410409,0.000410409
74,73.7117,0.72071,0.89413,1.19917,0.73077,0.71733,0.82861,0.52607,1.36411,1.42783,2.30159,0.000396262,0.000396262,0.000396262
75,74.6471,0.68774,0.92644,1.19894,0.72282,0.71814,0.826,0.51781,1.3338,1.46163,2.34546,0.000382115,0.000382115,0.000382115
76,75.6771,0.62431,0.86995,1.14457,0.73806,0.72222,0.83989,0.554,1.31542,1.55134,2.36817,0.000367967,0.000367967,0.000367967
